id,month,count
267,2019-10-01 00:00:00,3965
267,2019-11-01 00:00:00,2629
267,2019-12-01 00:00:00,1701
268,2019-01-01 00:00:00,2053
268,2019-02-01 00:00:00,2072
268,2019-03-01 00:00:00,3035
268,2019-04-01 00:00:00,3941
268,2019-05-01 00:00:00,4507
268,2019-06-01 00:00:00,4821
268,2019-07-01 00:00:00,4907
268,2019-08-01 00:00:00,5691
268,2019-09-01 00:00:00,5731
268,2019-10-01 00:00:00,4698
268,2019-11-01 00:00:00,3388
268,2019-12-01 00:00:00,2122
270,2019-01-01 00:00:00,1263
270,2019-02-01 00:00:00,1206
270,2019-03-01 00:00:00,1444
270,2019-04-01 00:00:00,1707
270,2019-05-01 00:00:00,1706
270,2019-06-01 00:00:00,1936
270,2019-07-01 00:00:00,2023
270,2019-08-01 00:00:00,2400
270,2019-09-01 00:00:00,1859
270,2019-10-01 00:00:00,1731
270,2019-11-01 00:00:00,1354
270,2019-12-01 00:00:00,975
274,2019-01-01 00:00:00,940
274,2019-02-01 00:00:00,862
274,2019-03-01 00:00:00,1220
274,2019-04-01 00:00:00,1639
274,2019-05-01 00:00:00,1948
274,2019-06-01 00:00:00,2170
274,2019-07-01 00:00:00,2238
274,2019-08-01 00:00:00,2181
274,2019-09-01 00:00:00,2715
274,2019-10-01 00:00:00,2263
274,2019-11-01 00:00:00,1536
274,2019-12-01 00:00:00,992
275,2019-01-01 00:00:00,656
275,2019-02-01 00:00:00,616
275,2019-03-01 00:00:00,813
275,2019-04-01 00:00:00,1056
275,2019-05-01 00:00:00,1187
275,2019-06-01 00:00:00,1305
275,2019-07-01 00:00:00,1255
275,2019-08-01 00:00:00,1152
275,2019-09-01 00:00:00,1248
275,2019-10-01 00:00:00,1045
275,2019-11-01 00:00:00,780
275,2019-12-01 00:00:00,490
276,2019-01-01 00:00:00,1053
276,2019-02-01 00:00:00,997
276,2019-03-01 00:00:00,1375
276,2019-04-01 00:00:00,1831
276,2019-05-01 00:00:00,2097
276,2019-06-01 00:00:00,2200
276,2019-07-01 00:00:00,2112
276,2019-08-01 00:00:00,2372
276,2019-09-01 00:00:00,2909
276,2019-10-01 00:00:00,2360
276,2019-11-01 00:00:00,1488
276,2019-12-01 00:00:00,929
278,2019-01-01 00:00:00,399
278,2019-02-01 00:00:00,374
278,2019-03-01 00:00:00,553
278,2019-04-01 00:00:00,882
278,2019-05-01 00:00:00,915
278,2019-06-01 00:00:00,1110
278,2019-07-01 00:00:00,1076
278,2019-08-01 00:00:00,1168
278,2019-09-01 00:00:00,1359
278,2019-10-01 00:00:00,1053
278,2019-11-01 00:00:00,617
278,2019-12-01 00:00:00,383
279,2019-01-01 00:00:00,1425
279,2019-02-01 00:00:00,1330
279,2019-03-01 00:00:00,2013
279,2019-04-01 00:00:00,3128
279,2019-05-01 00:00:00,3809
279,2019-06-01 00:00:00,4456
279,2019-07-01 00:00:00,4511
279,2019-08-01 00:00:00,4712
279,2019-09-01 00:00:00,4087
279,2019-10-01 00:00:00,3870
279,2019-11-01 00:00:00,2138
279,2019-12-01 00:00:00,1249
280,2019-01-01 00:00:00,1653
280,2019-02-01 00:00:00,1757
280,2019-03-01 00:00:00,2298
280,2019-04-01 00:00:00,3818
280,2019-05-01 00:00:00,3478
280,2019-06-01 00:00:00,3754
280,2019-07-01 00:00:00,4001
280,2019-08-01 00:00:00,4021
280,2019-09-01 00:00:00,5351
280,2019-10-01 00:00:00,4559
280,2019-11-01 00:00:00,3207
280,2019-12-01 00:00:00,1941
281,2019-01-01 00:00:00,2677
281,2019-02-01 00:00:00,2530
281,2019-03-01 00:00:00,5105
281,2019-04-01 00:00:00,7333
281,2019-05-01 00:00:00,8861
281,2019-06-01 00:00:00,8432
281,2019-07-01 00:00:00,9781
281,2019-08-01 00:00:00,10082
281,2019-09-01 00:00:00,6796
281,2019-10-01 00:00:00,7945
281,2019-11-01 00:00:00,5346
281,2019-12-01 00:00:00,2848
282,2019-01-01 00:00:00,786
282,2019-02-01 00:00:00,812
282,2019-03-01 00:00:00,1250
282,2019-04-01 00:00:00,2009
282,2019-05-01 00:00:00,1881
282,2019-06-01 00:00:00,2662
282,2019-07-01 00:00:00,2530
282,2019-08-01 00:00:00,2873
282,2019-09-01 00:00:00,2942
282,2019-10-01 00:00:00,2257
282,2019-11-01 00:00:00,1389
282,2019-12-01 00:00:00,797
284,2019-04-01 00:00:00,73
284,2019-05-01 00:00:00,5585
284,2019-06-01 00:00:00,8251
284,2019-07-01 00:00:00,8384
284,2019-08-01 00:00:00,9361
284,2019-09-01 00:00:00,10151
284,2019-10-01 00:00:00,8604
284,2019-11-01 00:00:00,5911
284,2019-12-01 00:00:00,3680
285,2019-01-01 00:00:00,5300
285,2019-02-01 00:00:00,5713
285,2019-03-01 00:00:00,7085
285,2019-04-01 00:00:00,9450
285,2019-05-01 00:00:00,12476
285,2019-06-01 00:00:00,10680
